address,suburb,price,bedrooms,bathrooms,car_garage,sqft_lot,sqft_living,year_built,date_sold,zipcode,latitude,longitude
23 Casitas Street,Champion Lakes,545000,4,2,2.0,433,203,2014.0,07/2014,6111,-32.11736026,115.9895207
23 Castanet Drive,Madeley,605000,4,2,2.0,451,182,2008.0,02/2019,6065,-31.804283,115.830119
23 Castlereagh Circle,Port Kennedy,390000,4,2,2.0,737,158,,05/2018,6172,-32.35549,115.76168
23 Catspaw Avenue,Beeliar,795000,4,2,3.0,730,308,2004.0,12/2020,6164,-32.12873394,115.8168256
23 Cedarleaf Entrance,Treeby,580000,4,2,2.0,373,182,,09/2019,6164,-32.12951753,115.8739257
23 Celebration Boulevard,Clarkson,445000,4,2,2.0,550,204,2007.0,04/2019,6030,-31.68344679,115.7306516
23 Central Avenue,Mount Pleasant,1050000,3,2,2.0,400,217,1993.0,07/2020,6153,-32.02725401,115.8458958
23 Cervara Avenue,Stirling,1040000,4,3,2.0,457,297,2005.0,08/2017,6021,-31.89218267,115.8222689
23 Chandela Loop,Currambine,575000,4,2,2.0,351,182,2004.0,08/2018,6028,-31.72996792,115.7458716
23 Chappel Street,Dianella,363000,3,1,,352,112,1986.0,11/2019,6059,-31.90353129,115.8831973
23 Chatham Road,Woodbridge,600000,4,3,2.0,1012,141,,10/2012,6056,-31.89328,115.99311
23 Chelmer Way,Willetton,730000,4,2,1.0,712,173,1987.0,02/2019,6155,-32.04554,115.89241
23 Chesapeake Parade,Port Kennedy,385000,4,2,3.0,642,203,2002.0,06/2018,6172,-32.37314,115.74913
23 Chesham Rise,Alkimos,321000,3,2,2.0,300,144,2015.0,11/2020,6038,-31.62797546,115.6978846
23 Chisholm Link,Madeley,592000,4,2,2.0,608,204,2004.0,07/2016,6065,-31.8095499,115.8270814
23 Chivalry Way,Thornlie,412000,4,2,1.0,680,180,1990.0,09/2018,6108,-32.06665,115.96463
23 Clarence Street,Tuart Hill,570000,3,2,2.0,317,124,2002.0,07/2017,6060,-31.89857,115.83208
23 Cleopatra Street,Palmyra,1140000,4,2,4.0,1047,200,,05/2019,6157,-32.04109,115.78016
23 Clianthus Way,Koongamia,77000,2,1,1.0,728,111,1965.0,06/2001,6056,-31.90769,116.04529
23 Clivia Heights,Sinagra,580000,5,3,2.0,469,251,2015.0,01/2018,6065,-31.73765436,115.8129165
23 Clotilde Street,Mount Lawley,1750000,4,1,3.0,690,161,1945.0,11/2020,6050,-31.93554,115.87654
23 Clyde Road,Menora,1085000,2,1,2.0,708,224,1953.0,12/2014,6050,-31.91914939,115.8596861
23 Cobblestones Circuit,Secret Harbour,1040000,5,4,2.0,797,460,2007.0,06/2019,6173,-32.41372137,115.7487715
23 Cockram Street,Mundijong,305000,3,1,2.0,1674,149,,11/2012,6123,-32.2957,115.9807
23 Colorino Avenue,Caversham,725000,5,2,2.0,633,313,2012.0,10/2016,6055,-31.86446829,115.9709363
23 Condro Bend,Sinagra,520000,4,2,2.0,635,218,2007.0,02/2017,6065,-31.734037,115.808573
23 Contour Road,Roleystone,565000,3,2,2.0,1599,135,2007.0,12/2016,6111,-32.12114,116.0577
23 Cook Street,Darlington,650000,4,2,2.0,2341,185,1979.0,12/2015,6070,-31.92756,116.08912
23 Coolga Road,Koongamia,415000,3,1,2.0,692,91,1965.0,12/2014,6056,-31.90796,116.043
23 Coomoora Road,Mount Pleasant,838000,4,3,2.0,495,166,1965.0,07/2018,6153,-32.03307034,115.8460993
23 Copperback Circle,Huntingdale,572500,4,2,,624,242,2006.0,04/2018,6110,-32.084431,115.955445
23 Cordova Court,Craigie,415000,3,1,,461,147,1976.0,05/2017,6025,-31.78997,115.76777
23 Corkwood Street,Banksia Grove,320000,4,2,2.0,584,124,2003.0,07/2017,6031,-31.6979113,115.8048155
23 Cornflower Drive,Eglinton,436000,4,2,2.0,375,153,2015.0,06/2016,6034,-31.59595221,115.6729343
23 Cornforth Way,Piara Waters,550000,4,2,2.0,480,176,2010.0,09/2020,6112,-32.1288532,115.9241518
23 Cosmia Grove,Jindalee,325000,3,2,2.0,225,102,2016.0,06/2018,6036,-31.63518663,115.6860121
23 Covenham Crescent,Aveley,399000,4,2,2.0,297,130,,11/2018,6069,-31.78682405,115.9949154
23 Coyong Road,Wattle Grove,695000,4,2,3.0,538,215,2008.0,03/2018,6107,-32.00053797,115.9920521
23 Craignish Loop,Kinross,545000,4,2,2.0,620,163,1997.0,09/2017,6028,-31.71543,115.74387
23 Daimler Drive,Tapping,471250,3,2,2.0,600,214,2007.0,01/2020,6065,-31.71851685,115.7997783
23 Dandenong Way,Alexander Heights,457500,4,2,4.0,582,204,,04/2018,6064,-31.82328,115.86233
23 Dartmoor Gardens,Ballajura,350000,4,2,3.0,455,116,1994.0,11/2019,6066,-31.85218,115.90839
23 Darwinia Place,Greenwood,632000,4,2,2.0,683,187,1972.0,12/2017,6024,-31.83262,115.79581
23 Davenport Approach,Wandi,508000,4,2,2.0,375,149,2014.0,02/2016,6167,-32.1895712,115.8597208
23 Daylesford Elbow,Jane Brook,580000,4,2,2.0,718,201,1998.0,04/2018,6056,-31.86901,116.05504
23 Delaware Place,Kallaroo,512500,3,1,1.0,763,119,1974.0,12/2015,6025,-31.78863,115.75536
23 Delton Way,Atwell,480000,4,2,2.0,497,153,1998.0,05/2018,6164,-32.13387,115.86423
23 Demesne Circuit,Aveley,580000,4,2,2.0,678,269,2007.0,12/2020,6069,-31.7934291,115.980802
23 Dickenson Way,Booragoon,855000,5,2,2.0,700,215,1981.0,12/2017,6154,-32.04313,115.82718
23 Dorothy Street,Ashfield,380000,3,1,2.0,806,225,,01/2009,6054,-31.91758068,115.9385105
23 Dottyback Bend,Yanchep,770000,5,3,3.0,802,322,2010.0,12/2020,6035,-31.56362,115.63945
23 Drammen Elbow,Merriwa,340000,4,2,2.0,551,137,1999.0,10/2019,6030,-31.66486,115.70974
23 Dryandra Elbow,Atwell,542000,4,2,2.0,544,163,,07/2020,6164,-32.14679,115.86818
23 Dulegal Way,Aveley,470000,4,2,2.0,558,230,2007.0,10/2019,6069,-31.79440266,115.9811609
23 Dunk Street,Yanchep,220000,3,2,2.0,210,101,2014.0,05/2020,6035,-31.55050233,115.6432275
23 Dunster Way,Orelia,365000,4,2,2.0,556,152,2004.0,04/2016,6167,-32.2287041,115.8223199
23 Earlston Place,Booragoon,919500,4,2,2.0,793,250,1980.0,06/2016,6154,-32.04535,115.83322
23 Edgewater Drive,Edgewater,455000,3,1,2.0,711,115,1976.0,03/2016,6027,-31.77165,115.78949
23 Edinburgh Road,Seville Grove,398000,4,2,4.0,544,185,2008.0,06/2019,6112,-32.12935038,115.9870431
23 Edwards Entrance,Stratton,380000,4,2,1.0,460,125,1993.0,02/2015,6056,-31.87009,116.0398
23 Ellis Road,Mount Nasura,710000,4,2,4.0,7936,193,1986.0,06/2015,6112,-32.13416,116.02839
23 Elmhurst Way,Greenwood,470000,1,1,2.0,786,174,1974.0,05/2018,6024,-31.82383,115.81182
23 Elmsett Way,Girrawheen,365000,3,2,2.0,334,143,2012.0,07/2017,6064,-31.84418979,115.8523492
23 Elstree Avenue,Menora,715000,3,1,1.0,769,388,1953.0,10/2005,6050,-31.91775,115.85849
23 Emerald Way,Edgewater,395000,3,1,2.0,687,110,1981.0,01/2018,6027,-31.76749421,115.781072
23 Endeavour Avenue,Bull Creek,620000,3,1,1.0,692,117,1978.0,09/2019,6149,-32.05951,115.85277
23 Ewart Street,Midvale,370000,3,1,1.0,1052,109,1946.0,11/2012,6056,-31.89046,116.02153
23 Fantome Road,Craigie,460000,3,1,1.0,727,127,1981.0,04/2020,6025,-31.7932,115.76929
23 Farrell Way,Padbury,530000,4,1,2.0,685,120,1976.0,07/2020,6025,-31.81206,115.76553
23 Felton Retreat,Mindarie,575000,3,2,2.0,579,195,1994.0,09/2019,6030,-31.69499,115.7122
23 Ferguson Road,Darlington,510000,5,2,4.0,1809,180,1993.0,06/2015,6070,-31.90213,116.07405
23 Fifth Avenue,Rossmoyne,670000,2,1,2.0,459,98,1978.0,10/2015,6148,-32.03491772,115.8729693
23 Flematti Circle,Brookdale,118321,4,2,2.0,491,143,2010.0,03/2015,6112,-32.17172231,116.0061892
23 Forecastle Avenue,Jindalee,1025000,5,2,2.0,724,305,2011.0,08/2016,6036,-31.65134486,115.689503
23 Foxfield Road,Darch,780000,6,3,2.0,561,255,2006.0,01/2016,6065,-31.817623,115.84257
23 Freeland Way,Eden Hill,565000,4,2,2.0,703,218,1990.0,04/2017,6054,-31.88967,115.93456
23 Fringe Lily Crescent,Ellenbrook,300000,4,2,1.0,520,170,1996.0,08/2019,6069,-31.78944,115.96814
23 Gaffney Ridge,Clarkson,355000,4,2,2.0,582,156,1997.0,10/2018,6030,-31.68492,115.7241
23 Gamble Way,Karrinyup,1500000,4,2,2.0,730,458,2011.0,03/2019,6018,-31.88346,115.7709
23 Garden Road,Spearwood,712000,4,2,2.0,887,350,1993.0,11/2020,6163,-32.11631,115.77829
23 Garners Way,Burns Beach,750000,4,2,2.0,384,223,2015.0,03/2018,6028,-31.72363219,115.7234579
23 Gausson Turn,Ashby,517000,4,2,2.0,570,185,2004.0,03/2015,6065,-31.73410633,115.7970484
23 Gayton Road,City Beach,1520000,4,2,2.0,1042,220,1965.0,06/2019,6015,-31.92621,115.76903
23 Germain Way,Lockridge,400000,3,1,1.0,692,96,,11/2014,6054,-31.87632,115.95081
23 Gibbs Street,Rivervale,691000,3,1,4.0,520,191,1972.0,08/2020,6103,-31.96097,115.92678
23 Giudice Way,Yangebup,750000,4,3,2.0,633,311,2010.0,01/2017,6164,-32.1274172,115.8105076
23 Glastonbury Street,Leda,429000,4,2,6.0,567,258,2008.0,01/2015,6170,-32.26832775,115.8033472
23 Glen Ross Chase,Jane Brook,530000,4,2,2.0,693,172,2001.0,01/2018,6056,-31.86101,116.05201
23 Glencoe Loop,Kinross,470000,4,2,2.0,704,170,1992.0,05/2017,6028,-31.72405,115.73935
23 Glendale Crescent,Jandakot,922000,5,2,2.0,11392,200,,04/2015,6164,-32.10366,115.86503
23 Glensanda Way,Mindarie,687500,3,2,2.0,301,160,2007.0,12/2019,6030,-31.69462864,115.7058832
23 Gloster Loop,Brookdale,318000,3,2,2.0,395,143,2014.0,01/2017,6112,-32.16902255,116.0069157
23 Goldsbrough Entrance,Helena Valley,560000,3,2,2.0,468,174,2015.0,05/2016,6056,-31.92144739,116.032082
23 Gorman Place,Calista,290000,3,1,2.0,380,121,2006.0,07/2012,6167,-32.246076,115.8059
23 Goss Avenue,Manning,825000,5,2,2.0,870,184,1996.0,10/2019,6152,-32.00865618,115.8730498
23 Goulburn Road,Baldivis,365000,4,2,2.0,413,168,2014.0,12/2020,6171,-32.33019761,115.8177214
23 Grace Street,Ferndale,500000,4,1,1.0,688,129,1975.0,03/2015,6148,-32.02678,115.93328
23 Grade Road,Kelmscott,750000,6,3,6.0,2231,307,1988.0,06/2019,6111,-32.11913,116.03304
23 Graham road,Menora,1500000,4,2,2.0,1138,205,1945.0,08/2011,6050,-31.91752,115.85751
23 Green Croft Gardens,Leeming,735000,4,2,2.0,788,219,1992.0,08/2018,6149,-32.0867,115.85624
23 Grovelands Drive,Camillo,395000,4,2,6.0,812,178,1985.0,01/2016,6111,-32.11852423,115.9976201
23 Gungurru Avenue,Hocking,530000,4,2,2.0,580,179,2002.0,03/2020,6065,-31.76867,115.81326
23 Haig Street,Ashfield,445000,4,2,2.0,463,139,1997.0,10/2011,6054,-31.91632,115.93647
23 Halidon Street,Kingsley,575000,4,2,3.0,735,193,1979.0,03/2019,6026,-31.80899,115.80204
23 Hampden Street,South Perth,1800000,4,2,3.0,457,303,2004.0,02/2019,6151,-31.98276,115.87035
23 Hanlin Way,Samson,610000,4,2,2.0,822,181,1976.0,07/2020,6163,-32.07285,115.79764
23 Hardinge Road,Orange Grove,270000,3,4,,12918,375,,06/2004,6109,-32.02914003,116.0255997
23 Harfoot Street,Willagee,640000,4,2,2.0,556,152,2003.0,11/2020,6156,-32.05173996,115.8018867
23 Hartwell Parade,Jandakot,600000,4,2,2.0,803,195,1990.0,11/2020,6164,-32.10591,115.85586
23 Hassars Road,Secret Harbour,745000,4,2,2.0,762,268,2007.0,07/2020,6173,-32.41636627,115.7520042
23 Hawter Road,Glen Forrest,550000,4,2,2.0,4378,152,1970.0,07/2015,6071,-31.9133,116.09264
23 Heath Street,Singleton,530000,4,3,2.0,820,192,1979.0,04/2018,6175,-32.45312,115.75214
23 Helena Street,Guildford,1350000,3,1,4.0,1304,277,1966.0,03/2020,6055,-31.90184,115.97767
23 Henrietta Avenue,Mount Nasura,580000,4,2,2.0,2114,205,1985.0,05/2014,6112,-32.13987576,116.0196993
23 Herbert Street,North Fremantle,1810000,4,3,2.0,413,252,2002.0,09/2020,6159,-32.03191,115.75542
23 Hesperia Avenue,City Beach,2437000,3,2,2.0,1052,278,1965.0,04/2016,6015,-31.93091714,115.7624
23 Heylmore Road,Medina,280000,3,2,7.0,852,152,1956.0,05/2017,6167,-32.2388,115.80946
23 Highlander Parade,Rockingham,620000,4,2,,462,270,2004.0,06/2020,6168,-32.28741553,115.7280588
23 Hillview Street,Kalamunda,1200000,5,2,4.0,1913,288,2008.0,11/2017,6076,-31.97647,116.06451
23 Hillwater Promenade,Bennett Springs,415000,4,2,2.0,544,155,2003.0,11/2017,6063,-31.86124315,115.9367591
23 Hindoo Elbow,Stratton,300000,3,1,,593,111,,05/2017,6056,-31.8668,116.03859
23 Hogarth Way,Bateman,825000,4,2,1.0,682,142,1974.0,05/2014,6150,-32.0575,115.84571
23 Hollett Road,Stoneville,520000,4,2,2.0,2466,195,1988.0,01/2013,6081,-31.86894,116.164
23 Hollins Bend,Madeley,580000,4,2,2.0,576,178,2002.0,10/2016,6065,-31.8126,115.82209
23 Holman Street,Melville,600000,3,1,2.0,926,117,1960.0,06/2018,6156,-32.03317566,115.8062083
23 Holstein Court,Oakford,825000,7,4,3.0,4494,386,2010.0,11/2017,6121,-32.20839988,115.9645874
23 Hope Avenue,Salter Point,1360000,4,2,2.0,766,395,2001.0,09/2013,6152,-32.02035,115.86544
23 Hubbard Drive,Padbury,620000,4,2,4.0,762,220,,05/2019,6025,-31.80062,115.7671
23 Hubble Street,East Fremantle,1220000,2,1,2.0,510,136,1926.0,10/2018,6158,-32.04312,115.75988
23 Hubert Street,Darlington,550000,3,2,2.0,2072,126,1963.0,07/2018,6070,-31.92476,116.0907
23 Ilex Way,Forrestfield,350000,3,1,1.0,761,105,1978.0,02/2019,6058,-31.97508075,116.0035937
23 Iluka Avenue,Mullaloo,1321500,3,3,2.0,438,346,2014.0,03/2017,6027,-31.78308487,115.737888
23 Inquirer Lane,Stratton,245000,3,1,1.0,390,90,1995.0,12/2016,6056,-31.86344,116.03763
23 Ives Street,Hamilton Hill,635000,4,2,2.0,440,264,2007.0,04/2020,6163,-32.08665273,115.7807094
23 James Street,Guildford,525000,3,1,2.0,459,118,1910.0,01/2016,6055,-31.89957,115.97852
23 James Street,Mariginiup,760000,5,3,2.0,2294,280,1987.0,07/2019,6078,-31.7282,115.80696
23 Jefferies Way,Leeming,660000,4,2,2.0,744,203,1980.0,10/2020,6149,-32.07174,115.86643
23 Jeffrey Loop,Brookdale,309750,3,2,2.0,325,122,2013.0,09/2013,6112,-32.17043435,116.008266
23 Jerrat Mews,Atwell,495000,4,2,2.0,579,165,2000.0,04/2018,6164,-32.14487,115.8685
23 Jinda Road,Koongamia,90000,3,3,1.0,692,114,1958.0,03/2003,6056,-31.90529,116.04186
23 Johnson Crescent,Mullaloo,920000,5,2,2.0,811,214,1994.0,09/2020,6027,-31.77936,115.73675
23 Joudah Court,High Wycombe,485000,4,2,2.0,668,194,1993.0,12/2019,6057,-31.936593,115.9964593
23 Kalamatta Way,Gooseberry Hill,605000,3,2,2.0,2024,210,1970.0,11/2016,6076,-31.95116,116.04628
23 Kalbarri Pass,Jane Brook,517000,4,2,2.0,522,201,2015.0,07/2017,6056,-31.86028523,116.0571062
23 Kalix Elbow,Merriwa,365000,4,2,2.0,657,143,1996.0,10/2016,6030,-31.66375,115.70787
23 Karrinyup Road,Trigg,2000000,5,3,4.0,665,449,2011.0,03/2018,6029,-31.87481,115.75613
23 Kerwin Way,Lockridge,370000,3,1,1.0,693,99,1969.0,12/2015,6054,-31.88067,115.94509
23 Kiernan Place,Kallaroo,930000,5,2,2.0,1116,387,1988.0,12/2017,6025,-31.79270268,115.7416029
23 King Albert Road,Trigg,2269000,4,3,2.0,635,630,2001.0,05/2015,6029,-31.87584,115.75463
23 Kingswood Street,Mount Helena,620000,4,2,2.0,2000,237,2002.0,09/2014,6082,-31.87152,116.2177
23 Kinlock Avenue,Ferndale,455000,3,1,2.0,829,116,1978.0,12/2015,6148,-32.02883,115.93411
23 Kinsale Way,Caversham,535000,4,2,2.0,448,230,2015.0,03/2017,6055,-31.8659139,115.975299
23 Kirribilli Court,Kallaroo,1825000,5,2,4.0,1180,412,1996.0,11/2020,6025,-31.78983,115.74047
23 Klem Avenue,Salter Point,1220000,4,3,2.0,506,232,2004.0,01/2017,6152,-32.02303242,115.8715182
23 Kurnalpi Turn,Wanneroo,449000,3,2,2.0,496,180,2003.0,11/2020,6065,-31.74951081,115.8158578
23 Kurrajong Place,Greenwood,580000,4,2,1.0,709,191,1972.0,05/2019,6024,-31.82786,115.7964
23 La Estrada Way,Port Kennedy,280000,4,2,2.0,604,187,2002.0,03/2019,6172,-32.36247,115.76479
23 Lakelands Drive,Gnangara,830000,4,2,3.0,11215,382,1991.0,02/2006,6077,-31.78273,115.84841
23 Lakewood Avenue,Ascot,765000,3,2,2.0,200,174,1998.0,06/2014,6104,-31.93769,115.91689
23 Landor Road,Gooseberry Hill,965000,4,4,2.0,2000,184,2012.0,10/2014,6076,-31.955112,116.0479237
23 Langley Way,Booragoon,1155000,4,2,2.0,768,191,1986.0,08/2016,6154,-32.04249,115.84058
23 Lavender Chase,Darch,587000,4,2,2.0,500,217,2006.0,05/2016,6065,-31.81065589,115.8514779
23 Laverick Street,Haynes,435000,4,2,2.0,394,160,2014.0,06/2015,6112,-32.15809434,115.9896114
23 Lawrence Way,Samson,685000,4,2,2.0,717,182,1980.0,11/2013,6163,-32.07332,115.80264
23 Lawson Way,Padbury,436000,3,1,1.0,685,109,1976.0,01/2018,6025,-31.79482,115.76869
23 Leake Street,Forrestdale,595000,4,2,3.0,1276,210,1980.0,12/2013,6112,-32.15112805,115.9436027
23 Leghorn Road,Orelia,385000,4,2,2.0,514,133,2005.0,03/2017,6167,-32.23453922,115.8324978
23 Lennon Street,Morley,380000,3,1,1.0,263,109,2001.0,07/2020,6062,-31.8936699,115.8941079
23 Leroy Way,Piara Waters,635000,4,2,2.0,608,238,2013.0,03/2019,6112,-32.13357215,115.9151096
23 Lexington Avenue,Hilbert,174000,4,2,2.0,400,171,,09/2014,6112,-32.18076425,115.9665174
23 Lill Place,Anketell,1225000,6,4,5.0,19998,300,2003.0,05/2013,6167,-32.21835,115.87663
23 Lincoln Mews,Orelia,430000,4,2,2.0,672,173,,09/2015,6167,-32.23291,115.83224
23 Littlefield Road,High Wycombe,370000,4,2,2.0,1029,222,2007.0,02/2020,6057,-31.95338313,116.0074158
23 Lively Circle,Mirrabooka,440000,3,1,,457,134,1999.0,10/2020,6061,-31.86749,115.86403
23 Lobelia Drive,Darlington,425000,5,3,2.0,1451,268,1974.0,01/2018,6070,-31.90219,116.06598
23 Long Island Pass,Connolly,510000,3,2,2.0,256,147,1994.0,03/2015,6027,-31.74671,115.74567
23 Losino Boulevard,Henley Brook,618000,4,2,2.0,748,235,2001.0,01/2015,6055,-31.79763,115.97111
23 Lotherton Way,Hocking,512500,4,2,2.0,600,183,1999.0,05/2018,6065,-31.77586,115.81721
23 Lowerhall Gardens,Southern River,555000,4,2,2.0,517,216,,04/2017,6110,-32.10757963,115.953246
23 Lyell Grove,Woodvale,711000,4,2,2.0,750,232,1988.0,04/2019,6026,-31.77978,115.78808
23 Macalpine Retreat,Kinross,440000,4,2,,626,206,,09/2020,6028,-31.71314,115.74163
23 Madura Close,Ballajura,350000,3,1,2.0,510,103,1996.0,10/2019,6066,-31.84262,115.91601
23 Majestic Parade,Dianella,805000,4,2,,551,251,1998.0,10/2020,6059,-31.87733,115.86589
23 Mammoth Court,Ballajura,310000,3,1,2.0,423,119,1994.0,07/2018,6066,-31.85254,115.90303
23 Manchester Way,Canning Vale,510000,4,2,2.0,504,186,,04/2020,6155,-32.08256722,115.9341817
23 Mangles Street,Warnbro,491000,3,3,2.0,789,200,1976.0,03/2018,6169,-32.33881,115.74878
23 Manhattan Concourse,Hilbert,535000,4,1,,528,224,2015.0,12/2015,6112,-32.18014195,115.9681978
23 Margaret Street,Wilson,513500,3,2,1.0,315,124,1999.0,12/2020,6107,-32.02204,115.91073
23 Mary Street,Hazelmere,595000,3,1,1.0,1619,115,1980.0,02/2016,6055,-31.90628,115.99422
23 Mary Street,Watermans Bay,959000,3,1,1.0,791,104,,10/2013,6020,-31.8481,115.75515
23 Masefield Avenue,North Lake,626000,5,2,3.0,704,203,1988.0,05/2010,6163,-32.08236482,115.8211859
23 Masthead Close,Jindalee,430000,4,2,2.0,517,182,2006.0,09/2018,6036,-31.65147225,115.6971137
23 Matuka Mews,Maida Vale,520000,4,2,4.0,544,203,2005.0,10/2016,6057,-31.95311,116.0222
23 Mayor Road,Coogee,650000,4,2,2.0,704,250,1998.0,09/2019,6166,-32.12566,115.77249
23 McCallum Parkway,Bertram,340000,3,2,2.0,441,175,2005.0,01/2020,6167,-32.25088,115.84894
23 Mcvicar Place,Mount Helena,525000,4,2,2.0,2457,53,1986.0,12/2014,6082,-31.87767438,116.2099367
23 Melton Hill Lane,Champion Lakes,520000,4,1,,254,222,2015.0,05/2020,6111,-32.11541947,115.9895169
23 Meredith Way,Koondoola,450000,3,1,1.0,855,122,1978.0,09/2014,6064,-31.84836,115.86492
23 Mermaid Way,Heathridge,450000,3,1,2.0,695,112,1983.0,07/2018,6027,-31.76412,115.75284
23 Messina Avenue,Stirling,855000,4,2,2.0,467,221,2010.0,03/2019,6021,-31.89522823,115.8166791
23 Messina Drive,Sinagra,549000,4,2,2.0,608,235,2005.0,08/2014,6065,-31.73959,115.80198
23 Mettam Street,Trigg,2000000,4,3,4.0,586,217,1970.0,04/2018,6029,-31.8716584,115.7542074
23 Midsummer Avenue,Jindalee,627000,4,2,2.0,510,219,2014.0,07/2017,6036,-31.63361424,115.6872556
23 Milleara Road,Martin,635000,4,2,4.0,1932,235,1991.0,03/2013,6110,-32.08743,116.02486
23 Moombaki Avenue,Bertram,511000,4,2,2.0,841,219,2005.0,11/2015,6167,-32.248662,115.839073
23 Moonah Way,Hammond Park,590000,5,2,2.0,582,243,2008.0,10/2019,6164,-32.16420954,115.8483874
23 Moorpark Avenue,Yanchep,300000,4,2,2.0,700,170,1977.0,09/2018,6035,-31.5459,115.64973
23 Morrison Road,Woodbridge,268000,3,1,1.0,421,99,,09/2012,6056,-31.88842712,115.9970718
23 Morton Loop,Canning Vale,570000,5,2,2.0,651,191,1998.0,03/2020,6155,-32.08934,115.91139
23 Moss Street,East Fremantle,1450000,3,1,1.0,663,150,1920.0,12/2017,6158,-32.04201,115.76698
23 Mossfiel Retreat,Landsdale,590000,5,2,2.0,699,250,1998.0,12/2018,6065,-31.80986,115.8661
23 Motril Avenue,Coogee,770000,4,2,2.0,710,214,1990.0,07/2020,6166,-32.11625,115.77381
23 Mountainbell Road,Churchlands,1315000,3,2,2.0,313,217,2013.0,08/2017,6018,-31.92549417,115.7934053
23 Mullewa Crescent,Coolbinia,1700000,5,3,2.0,1240,348,1964.0,12/2015,6050,-31.9122,115.85047
23 Namoi Turn,Merriwa,360000,4,2,2.0,560,127,2000.0,08/2015,6030,-31.66341,115.71052
23 Nesbit Drive,Haynes,225000,4,2,2.0,480,156,2015.0,04/2014,6112,-32.15756753,115.9922241
23 Netherwood Road,High Wycombe,479000,4,2,2.0,906,141,1975.0,04/2018,6057,-31.94324,116.01215
23 Newbury Way,Alkimos,450000,4,2,2.0,510,241,2012.0,06/2018,6038,-31.62892526,115.7021078
23 Newell Place,Cooloongup,250000,3,1,,688,95,1979.0,02/2019,6168,-32.3004,115.75148
23 Nicholli Street,Duncraig,750000,5,3,2.0,829,300,1975.0,06/2018,6023,-31.8394,115.78322
23 Nisbet Road,Applecross,1900000,4,2,3.0,701,260,1994.0,06/2019,6153,-32.00924,115.84227
23 Noel Street,Helena Valley,460000,3,1,3.0,1012,146,1970.0,02/2015,6056,-31.91074,116.04094
23 North Street,Swanbourne,1140000,3,2,1.0,306,110,1917.0,08/2017,6010,-31.98178,115.76412
23 Northmore Crescent,Winthrop,855000,4,2,2.0,723,204,1990.0,03/2017,6150,-32.04743,115.81916
23 Oakbella Parade,Harrisdale,525000,4,2,2.0,623,204,2013.0,06/2019,6112,-32.12346932,115.9318651
23 Oakover Street,East Fremantle,2000000,2,1,2.0,1011,278,1930.0,07/2020,6158,-32.04118,115.77454
23 Olivina Parkway,Dayton,378500,3,2,2.0,242,140,2015.0,03/2016,6055,-31.85284069,115.975452
23 Ollera Meander,Carramar,460000,4,2,,603,193,,02/2020,6031,-31.71155,115.78029
23 Opal Way,Mount Richon,435000,3,1,1.0,722,149,1981.0,06/2015,6112,-32.1563815,116.0211657
23 O'Reilly Court,Jane Brook,620000,4,2,2.0,723,218,2000.0,12/2014,6056,-31.87261,116.05489
23 Orient Circuit,Hillarys,825000,3,1,,300,216,2008.0,12/2020,6025,-31.803046,115.744246
23 Oronsay Road,Greenwood,550000,4,2,2.0,707,145,1977.0,08/2019,6024,-31.83698,115.7945
23 Ossian Way,Kinross,520000,4,2,2.0,658,190,2001.0,02/2017,6028,-31.71481,115.73833
23 Paddington Court,Bibra Lake,560000,4,2,2.0,517,245,1998.0,10/2017,6163,-32.08895,115.81118
23 Pagnell Way,Swan View,400000,3,2,2.0,704,194,2001.0,05/2018,6056,-31.89093,116.05689
23 Pannell Way,Girrawheen,370000,3,1,2.0,693,127,,09/2016,6064,-31.8453,115.85148
23 Parham Road,Quinns Rocks,640000,4,2,2.0,995,150,,03/2018,6030,-31.67184,115.70125
23 Parke Road,Gooseberry Hill,760000,4,2,1.0,2232,162,1952.0,10/2016,6076,-31.96431,116.04965
23 Parkland Close,Edgewater,508000,3,1,1.0,710,137,1980.0,11/2015,6027,-31.76521,115.78915
23 Parnell Avenue,Marmion,725000,3,1,2.0,719,136,1980.0,08/2013,6020,-31.84251,115.76058
23 Pathfinder Road,Padbury,655000,4,2,2.0,700,162,1985.0,02/2019,6025,-31.80893,115.77087
23 Patina Street,Eglinton,390000,3,2,2.0,383,163,2013.0,03/2019,6034,-31.59813506,115.6681485
23 Payne Street,Shoalwater,346500,3,1,1.0,910,79,1975.0,07/2016,6169,-32.29532,115.71284
23 PEACOCK AVENUE,Singleton,425000,4,2,2.0,620,185,,08/2016,6175,-32.43432579,115.7555709
23 Pearl Road,Cloverdale,718000,2,1,1.0,1237,106,1964.0,04/2018,6105,-31.96294723,115.9479411
23 Pedder Way,Parmelia,225000,3,1,2.0,824,85,1975.0,10/2018,6167,-32.2389,115.8311
23 Peet Crescent,Trigg,1365000,4,2,2.0,817,243,1970.0,05/2015,6029,-31.884476,115.7595495
23 Peirse Way,Marmion,830000,3,2,2.0,738,170,1980.0,03/2020,6020,-31.84451,115.75543
23 Pendleton Crescent,Butler,365000,4,2,2.0,641,200,2004.0,10/2019,6036,-31.64350533,115.7020901
23 Pensacola Avenue,Caversham,565000,4,2,2.0,620,228,2002.0,05/2017,6055,-31.86689,115.96168
23 Peran Street,Bennett Springs,380000,4,2,2.0,411,144,2000.0,06/2020,6063,-31.85719204,115.9186844
